B	2.37
A	5.7
错	5.26
错	5.27
C	1.64
B	5.2
C	5.4
A	4.5
B	2.39
A	5.1
A	7.10
对	5.24
错	5.28
对	5.20
C	5.17
C	2.45
错	2.97
C	2.32
A	3.96
对	7.21
A	1.29
A	3.98
B	2.38
C	7.8
C	1.12
错	2.84
C	5.5
A	4.2
B	4.4
B	2.36
C	2.46
A	2.52
A	9.12
A	6.12
对	2.83
B	1.72
C	2.43
C	1.40
C	5.10
B	1.61
C	2.47
对	2.86
A	3.101
A	1.58
A	2.22
C	5.3
C	5.6
A	6.13
B	1.11
B	5.13
B	5.11
B	5.15
B	1.57
B	4.6
C	2.44
C	2.40
B	3.109
B	5.14
C	1.62
C	2.42
错	5.25
对	7.12
对	2.85
B	5.12
C	5.8
错	5.19
对	7.17
C	2.48
错	7.20
B	5.18
对	7.19
A	5.16
错	7.22
C	2.41
A	2.35
C	5.9
C	7.4
对	5.30
B	4.1
C	1.75
错	5.29
C	2.49
